,Location_of_Death
"Unspecified location in Qum, Iran",4
"Syrian/Turkish border, Idlib province",4
"Unspecified location in Chenaran district, Razavi Khorasan province, Iran",4
"Aswan desert, Egypt",4
Channel of Sicily,4
Between Libya and Italy,4
Unspecified location by the Yemeni border in Saudi Arabia,4
"Dori, Burkina Faso",4
"Hombori, Mali",4
"Ghadames, Libya (close to Debdeb, Algeria)",4
"Near Gedaref, Sudan",4
"Wadi Halfa, Sudan",4
Between Bosaso and Yemen (Bin Sinaa),4
"Unspecified location in Bandar-e-Abbas county, Hormozgan Province, Iran",4
"RÃ­o Bravo, near Reynosa DÃ­az, Tamaulipas, Mexico",4
Unspecified location on the Syrian/Turkish border,4
"Bosaso, Somalia",4
"off the coast of Farmakonisi, Greece",4
"Remains washed ashore at Sabratha, Libya",4
"Syrian/Turkish border, near Darkoush, Idlib province",4
"Kantchari, Burkina Faso, near border with Niger",4
"Syrian/Turkish border, Idlib province, near Iskenderun, Hatay, TÃ¼rkiye",4
"RÃ­o Bravo, Piedras Negras, Coahuila, Mexico",4
"Shemaliya, Sudan",3
Unspecified location between Comoros and Mayotte,3
"Rio Bravo in Coahuila, Mexico",3
"Brooks County, Texas",3
"Sahara Desert, between Khartoum, Sudan and Libya",3
"Rio Bravo, DÃ­az Ordaz, Tamaulipas, Mexico",3
"Rio Bravo, AcuÃ±a, Coahuila, Mexico",3
"Kerman, Iran",3
"Rio Bravo, near Nuevo Laredo, Tamaulipas, Mexico",3
off the coast of Lesvos,3
"Qadarif (Al Qadarif), Sudan",3
"Off the coast of Tarfaya, Morocco",3
"On the border with Poland, Belarus",3
"RÃ­o Bravo, near ""El Patinadero"", Parque Viveros, Nuevo Laredo, Tamaulipas, Mexico",3
"Found on Samos Island, Greece",3
"Remains recovered at CÃ¡rabos beach, Melilla, Spain",3
"Madama, Niger",3
"Al-Thabit, Qatabir District, Sa'dah Governorate, Yemen",3
Syrian/Turkish border near Aleppo province,3
"RÃ­o Bravo, near Nuevo Laredo, Tamaulipas, Mexico",3
"Remains washed ashore at Garabulli, Libya",3
"In the mountains of Ar Raqw and Al-Ghar, Monabbih District, Sa'dah Governorate, Yemen",3
"Gedharif (Al Qadarif), Sudan",3
"Unspecified location in Sirjan County, Kerman Province, Iran",3
"Darien Gap, between Colombia and Panama",3
"Off the coast of Mostaganem, Algeria",3
"Evros/MeriÃ§ river, around YenikadÄ±n Infantry Brigade,  Edirne, TÃ¼rkiye",3
"Unspecified location in Shiraz city, Shiraz county, Fars province, Iran",3
"Syria-TÃ¼rkiye border, near Darkush, Idlib Governorate, Syria",3
"Desert outside Agadez, Niger",3
"Evros/MeriÃ§ river, Greece-TÃ¼rkiye border",3
"Boshahr province, Iran",3
"Bodies retrieved in Zuwara, Libya",3
Egyptian Libyan border ,3
"RÃ­o Bravo, near Matamoros, Tamaulipas, Mexico",3
"Diffa, Niger",3
"Unspecified location in the Alboran Sea, off the coast of Nador, Morocco",3
"Unspecified location in the Sahara desert, Niger",3
"Ghat, Libya",3
"Bodies retrieved in Al Khums, Libya",3
Unspecified location in Chad,3
"Syria-TÃ¼rkiye border at al-Dirriyah, Daraa Governorate, Syria",3
"Madamma, Niger, near the border with Libya",3
"Unspecified location in Qazvin province, Iran",3
"Arelate, Niger",3
"Laristan province, Iran",3
"Unspecified location in the Sahara desert, Niger, near border with Libya",3
Unspecified location in Mali,3
"Unspecified location in Mazandaran province, Iran",3
"Bodies retrieved in Tajoura, east of Tripoli, Libya",3
"Near MarrantÃ­ River, Darien Gap, ComarcÃ¡ EmberÃ¡-CÃ©maco, Panama",3
"Remains washed ashore at Sabratha beach, Libya",3
"In the Sahara Desert, Sudan",3
"Unspecified location in Shiraz city, Fars Province, Iran",3
"In the Sahara desert, around Aswan, Egypt",3
"Qatroun (Al Gatroun), Libya",3
Unspecified location in the Channel of Sicily,3
"Yazd province, Iran",3
"Remains washed ashore at Abubasla shore (12km west of Zuwara), Libya",3
"Unspecified location, Bosnia and Herzegovina",3
Northern Niger,3
"West Azerbaijan province, Iran",3
"Off the coast of Al Khums, Libya",3
"Desert near Agadez, Niger",3
"Rio Bravo, Reynosa, Tamaulipas, Mexico",3
"Sahara desert, Chad",3
