,Location_of_Death
"Off the coast of Nouadhibou, Mauritania - The boat is understood to have left Dakhla, Western Sahara, some days before and was heading for the Canary Islands",1
"Remains recovered near Sabratha, Libya",1
"Close to Burr Ranch, Eagle Pass, Maverick County, Texas",1
"Ferromex Yards in Ciudad Juarez, Chihuahua, Mexico",1
"Tisa River, crossing from Hungary into Serbia",1
"Off the coast of Annaba, Algeria",1
"Port of Valencia, Spain ",1
"Libramiento MÃ©xico II Highway, close to Nueva Ciudad Guerrero, Tamaulipas, Mexico",1
"RÃ­o Bravo, close to Parque Alamedas, Ciudad AcuÃ±a, Coahuila, Mexico",1
"Santo TomÃ¡s Hospital, Panama City, Panama - She was transferred there from the PeÃ±ita transit center in the Darien Gap",1
"Las Pistolas Ranch, Ciudad AcuÃ±a, Coahuila, Mexico",1
"Rescued by merchant vessel Wadowice II north of Gran Canaria, Canary Islands, Spain - remains disembarked in Las Palmas de Gran Canaria",1
"Unspecified location in the Mediterranean - rescued to Reggio Calabria, Italy",1
"Remains washed ashore at separate locations in Tocra, Marj, Libya",1
"Off the Rock of Gibraltar, Gibraltar, United Kingdom",1
"Forest area near Blata, Saborsko, Karlovac County, Croatia ",1
"Unspecified location in the MeriÃ§ River, TÃ¼rkiye",1
Unspecified location off the Bahamas,1
"Near Bradina, Konjic, Bosnia and Herzegovina",1
"Unspecified location by the border wall, close to Tecate, Baja California, Mexico",1
"Remains washed ashore at Calamocarro beach, Ceuta, Spain",1
"Three nautical miles south of Cay Sal, Bahamas",1
"Rio Bravo by the Cougars sports field, Piedras Negras, Coahuila, Mexico",1
"Remains washed ashore at San Roque beach, Cadiz, Spain",1
"On board of a boat rescued off of Gran Canaria, Canary Islands, Spain",1
"Rio Bravo, Claudet, Nuevo Laredo, Tamaulipas, Mexico",1
"Unspecified location between Chios, Greece and Cesme, TÃ¼rkiye",1
"Auchy-au-Bois, Calais, France",1
"Rouvignies, France",1
"At the Ferromex station, located on Soledad Street in the downtown area of Frontera, Municipality of Frontera, CuauhtÃ©moc, Zona Centro, Coahuila, Mexico",1
"Hospital Universitario Materno Infantil in Las Palmas, Gran Canaria, Spain",1
"Ejido Florida de Norte, San Fernando, Tamaulipas, Mexico",1
"Playas de Tijuana, Tijuana, Baja California, Mexico",1
"A3 motorway near Okucani, Croatia",1
"Presumably in Turquesa River, ComarcÃ¡ EmberÃ¡ CÃ©maco, Darien, Panama",1
"300 m off the coast of MazarrÃ³n, Murcia, Spain",1
"Off of PorÃ­s de Abona, Tenerife, Canary Islands, Spain",1
"11 nautical miles north of Boucheral beach, TÃ©nÃ¨s, Algeria",1
"Bodies retreived from Cap Rousseau and Cap Falcon, where boat capsized about 12 nautical miles North of Cap Falcon, Ain El Turk, Oran, Algeria",1
"Off Plage Corales, Oran, Algeria",1
"One body recovered from boat rescued 250km off of Gran Canaria, Canary Islands, Spain - The remains of four people were left at sea",1
"Unspecified location in the Gulf of Aden, off the coast of Obock, Djibouti",1
"Remains retreived from sea by LCG - Survivors disembarked at Abusitta, Tripoli, Libya",1
"Remains retreived from sea, during interception off the coast of Libya",1
"Remains washed ashore at Bin Sheeb (West of Zawia), Libya",1
"400 KM South East Kufra, Libya",1
"100 KM north-west of Lampedusa, Italy. Boat sailed on night of 12 Feb with 48 POB from Sidi Mansour, Sfax.",1
"In the General Hospital TeÅ¡anjn, he was attacked in front of the shopping center ""Konzum"" in the town of KraÅ¡evo, Bosnia and Herzegovina",1
"Remains washed ashore at Abu Basla Beach, Zuwara, Libya",1
"Off La Mareta, Granadilla de Abona, Santa Cruz de Tenerife, Canary Islands, Spain",1
"Glina river, between Karlovac County and Sisak-Moslavina County, Croatia",1
"Remains washed ashore at Om Ù AlKhonfes, Sirte, Libya",1
"Remains washed ashore at Melita Beach, Zuwara Libya",1
"Truck rolled over in the desert near Tabruk, Libya",1
"Found on board intercepted boat off coasts of Oran, Algeria",1
"Near Rio Bravo, outside municipal golf course and minigolf, Eagle Pass, Maverick County, Texas",1
"Remains retreived from sea by LCG - Survivors disembarked at Zuwara Port, Libya",1
"Unspecified location in the Central Mediterranean, remains retreived by Asso Trenta (merchant ship) and diesmbarket at Porto Empedocle, Sicily, Italy",1
"Unspecified location in the Central Mediterranean. The rubber dinghy left Libya on 18.02, after 15h it began to took water, it was recued on 20.02 by the Vos Triton (merchant ship), the survivors were disembarked at Porto Empedocle, Sicily, Italy",1
"Border check point at Colonia Libertador La Bomba, Dajabon Province, Dominican Republic",1
"Bodies retreived from water where a boat malfunctioned between the coasts of Mahdia and Sfax, Tunisia",1
"Died on the way to the hospital after a rescue operation 23 KM South of Kerkennah Islands off Sfax, Tunisia",1
"At the border wall, Tijuana, Baja California, Mexico",1
"Rio Bravo, Ejido Santo Domingo, Piedras Negras, Coahuila, Mexico",1
"Boat capsized after 500m of sailing East of Hoceima, Morocco (spotted by Isri plage monitor)",1
"Remains recovered at Dique Sur, Melilla, Spain",1
"Remains washed ashore at Tocra, Marj, Libya",1
"Remains recovered at Horcas Coloradas beach, Melilla, Spain",1
"Off Plage BidÃ¨r, Msirda Fouaga, Tlemcen, Algeria",1
"GPS coordinates of interception 33Â°04âN 012Â°12âE (9 nautical miles northeast of Zuwara, Libya, in Libyan territorial waters),Remains recovered from shipwrecked boat - GPS coordinates of interception 33Â°04âN 012Â°12âE (9 nautical miles northeast of Zuwara, Libya, in Libyan territorial waters)",1
"General Galeana Hospital in Monterrey, Nuevo Leon, Mexico",1
"Remains washed near Plage Kef Fatma, Ben Azzouz, Skikda, Algeria",1
"Boat located 490km south of El Hierro, Canary Islands, Spain after 22 days at sea (departed from Mauritania on April 4, with 59 people on board)",1
"Remains recovered off the coast of Fnideq, Morocco",1
"Approximately 73 nautical miles north west from Al Khoms, Libya (exact coordinates 33 44.44N 013 37.57E) - presumed to have embarked from Al-Khoms at approximately 22:00 on 20 April 2021.",1
"Remains recovered at Playa El Tarajal, Ceuta, Spain",1
"Off the coasts of Mostaganem, Algeria",1
"Remains washed ashore at Az Zawiyah, Al Harsha Libya",1
"Remains washed ashore at Tripoli, Libya",1
"Remains washed ashore at Sabratah, Libya,Unspecified location in Tamanrasset, Algeria",1
"Remains washed ashore at Al Uqaylah, Al Wahat, Libya",1
"Remains washed ashore at port Elketef, Ben Gardane, Medinine, Tunisia",1
"Rubber Dinghy exploded off the coast of Achakkar,Tangier, Morocco",1
"Rio Bravo, Gustavo Diaz Ordaz, Tamaulipas, Mexico",1
"Remains washed ashore on Plage Riffiine, Fnideq, Morocco",1
"Rio Bravo, near La Vega Ranch, Piedras Negras, Coahuila, Mexico",1
"Rio Bravo, near Jimenez, Piedras Negras, Coahuila, Mexico",1
"Rio Bravo, near Ciudad AcuÃ±a, Coahuila, Mexico",1
"Rio Bravo, near Ejido El Moral, Piedras Negras, Coahuila, Mexico",1
"Rio Bravo, near Santa MarÃ­a neighborhood, Piedras Negras, Coahuila, Mexico",1
"Remains washed ashore at Alsidra, Sirte, Libya",1
"Charruba (Kharruba) Desert, Libya",1
"Ash Shwayrif, Libya",1
"HammÃ©ra, Libya",1
"Umm al Aranib, Libya",1
"Tajoura, Libya",1
"At Boca de Serpiente, off the coast of Delta Amacuro, Venezuela",1
"Remains washed ashore at Al Harsa, Libya",1
"Remains recovered off the coast of Fuerteventura, Canary Islands, Spain",1
"Remains recovered at the mouth of the Rio de Oro River, Melilla, Spain",1
"Remains recovered at BenzÃº beach, Ceuta, Spain",1
Unspecified location off the coast of Libya - remains disembarked at Zwara,1
Unspecified location off the coast of Libya - remains disembarked at Sobratah,1
"Evros/MeriÃ§ river, Serem Village of MeriÃ§ District, TÃ¼rkiye",1
"On boad of a boat rescued 220km south of El Hierro, Canary Islands, Spain - boat departed from Nouakchott, Mauritania",1
"Rio Bravo, Reynosa Diaz Tamaulipas, Mexico",1
"Two remains washed ashore at Al-Matwiyah beach and one washed ashore at Ghanouch, GabÃ¨s Governorate, Tunisia",1
"Turquesa river, in four different locations in the between Comarca WargandÃ­ and Comarca EmberÃ¡, Panama",1
"Boulevard Aeropuerto, Venustiano Carranza, Piedras Negras, Coahuila, Mexico",1
"Remains washed ashore at the area between Sirte Company and Al-Arasa near Brega, Al Wahat, Libya",1
"RÃ­o Bravo, Colonia Santa MarÃ­a, Piedras Negras, Coahuila, Mexico",1
"Remains washed on Plage de Terga, AÃ¯n TÃ©mouchent, Algeria",1
Remains recovered at sea off the coast of Libya,1
"At the intersection of Mangana Hein Road and U.S. Highway 83 north, Laredo, Webb County, Texas",1
"Rio Bravo, International Bridge III, Nuevo Laredo, Tamaulipas, Mexico",1
"4 remains recovered on Plage d'Aghir, Djerba and 2 recovered off the coast of Zarzis, Medenine, Tunisia",1
"Off the coasts of Djerba, Medenine, Tunisia",1
"Rio Bravo, Puente Internacional Reynosa-Hidalgo, Reynosa, Tamaulipas, Mexico",1
"Remains recovered off the coasts of AguadÃº, Melilla, Spain",1
"Unspecified location off the coast of Djibouti, between Obock and Gaherre.",1
"Off the coast of Sidi Mansour, Tunisia",1
"Mechili, South of Bayda, Libya",1
"Found where boat capsized off Porto Rico beach, South of Dakhla, Western Sahara",1
"Off the coast of Port Elketef, Ben Gardane, Medinine, Tunisia",1
"RÃ­o Bravo in Matamoros, Tamaulipas, Mexico",1
"Highway 57 Matehuala-Saltillo, close to Municipality of la Galeana,Nuevo Leon, Mexico",1
"Unspecified location. Embarked on 19.11 from Garabulli, Libya and disappeared without a trace",1
"Unspecified location off the coast of Libya - Departed from Azzawiyah, intercepted by GACS and disembarked at Tripoli",1
"Remains washed ashore at Costa Daurada, Roda de BerÃ , TarragonÃ¨s, Catalonia, Spain",1
"Remains of one child found at Azzawyia Musfat and remains of three children at Almutred area, Libya",1
"Remains recovered on a beach in Sabratha and in Della Azzawiya, Libya",1
"Near railway station in Sid, Serbia",1
"Remains washed ashore and retreived by Egyptian Coast Guard off the coast of Salloum, Marsa Matrouh, Egypt. Assumed that fishing boat departed from Salloum to Libya (transiting to Italy) before capsizing",1
"Unspecified location in the Aegean sea. Survivors rescued off the coast of Ä°zmirâs FoÃ§a district/Aslan Burnu, TÃ¼rkiye",1
"Body found by the Marine Guard on the beach of Cap Zebib (Ras Jebel),  Bizerte, Tunisia",1
"Puerto ObaldÃ­a, Guna Yala District, Panama",1
"Off the coast of LaÃ¢youne/El AaiÃºn, Morocco",1
"6 miles off the coast of Sidi Mansour, Sfax, Tunisia",1
"Remains washed ashore at Al harsha, Azzawaya, Libya",1
"In a hospital in Motril, Granada, Spain - Rescued one day before 30 nautical miles off of Motril",1
"Abeche road, close to Faya Largeau, Chad",1
"Unspecified location in Coahuila, Mexico",1
"Off Sfax, Tunisia - embarkation from Zarzis",1
"On Trakya highway, near the village of Drazhevo, Yambol, Bulgaria,Yambol hopsital, Yambol, Bulgaria",1
"Unspecified location in the desert, Chihuahua, Mexico",1
"Rio Conchos, Chihuahua, Mexico",1
"Off Tobruk, Libya",1
"Remains washed ashore at Sidi Khalifah north Benghazi, Libya",1
"Remains washed ashore at Al Khoms, Libya",1
"Semnan, Iran",1
"Arak, Iran",1
"Markaz, Iran",1
"Qazwin, Iran",1
"Body was found in the water 2 miles east of Sidi Mansour, Sfax, Tunisia where a boat that departed en route to Italy from Sidi Mansour malfunctioned",1
"MeriÃ§ District of Edirne, TÃ¼rkiye near border with Greece",1
"Remains recovered off the coast of Bojdour, Morocco. Presumed to be part of a boat with 27 POB that sank off Bojdour en route to the Canary Islands",1
"Boat departed from Sidi Ifni to Canary Islands, body was retreived at sea near Tan-Tan coast, Sidi Ifni, Morocco",1
"Remains found buried close to the Rio Bravo at Guerrero, Coahuila, Mexico - presumed date of death 6 months before",1
"Wooden boat departed on 22 Nov from Chika, Dakhla, Western Sahara en route to Canary Islands before shortly capsizing",1
"Body found on beach in northwestern Rhodes, Greece",1
"Unspecified location off coast of Algeria - departure on 23.11 from Boudouaou-El-Bahri, BoumerdÃ¨s Province, Algeria - Bodies washed ashore on Algerian coasts in upcoming days.",1
"On board of a boat rescued by Salvamento MarÃ­timo en route to the Canary Islands, Spain.",1
"Bodies washed up to the coast of Lanzarote, Canary Islands, Spain. Shipwreck occurred off the coast of Orzola. - Departure from Agadir, Morocco, two or three days before. ",1
"Off the coast of Punta del Coco, Lagunas de NisibÃ³n, HigÃ¼ey, Dominican Republic",1
"Rescued by Royal Moroccan Navy north of Nador, Morocco. Departed on 25 Nov en route to Spain",1
"Off St Louis, Senegal - departure from either Kafountine or Joal",1
"Remains recovered off Fanar and Narges Beaches, Baltim, Kafr El Sheikh, Egypt.",1
"Remains recovered off the coast of Khoshoei village, Borollos, Kafr El Sheikh, Egypt.",1
"Rio Bravo, close to Amistad Reservoir, Coahuila, Mexico",1
"Bodies found by the Marine Guard at Plage de Rimel (Menzel Jemel), Metline, Cap Zebib beach (Ras Jebel), Loukaâs Beach and Sidi Mechreg beach, Bizerte, Tunisia",1
"Unspecified location - departure from Safi, Morocco en route to Canary Islands around 23.11",1
"Bodies washed ashore at Horcas Coloradas, Melilla, Spain",1
"Off the eastern coast of Lesvos, Greece",1
"Off the coast of Lagunas de Nisibon, La Altagracia province, Dominican Republic",1
"Off the coast of Tan Tan, Morocco, last known position 28Â° 11', -12Â° 13'",1
"At the land border between Morocco and Algeria en route to Oujda, Morocco",1
"Off the coast of Nouakchott, Mauritania - Departure on 07.12",1
"Body found in abandoned building in central Edirne, TÃ¼rkiye",1
"Boat sailed on 11 Nov potentially from Oran, Algeria before disappearing on the Balearic route. 4 bodies washed up on the shore of Mosteganem, Algeria, rest missing",1
"6.3 nautical miles from  GÃ¼iria, Sucre, Venezuela, en route to Trinidad and Tobago",1
"Bodies found by the Marine Guard on the beaches of Cape Angela and Sidi Mechreg, Bizerte, Tunisia",1
"Sawa, Iran",1
"Remains washed ashore between the coasts of El Salloum and Sidi Barrani, Marsa Matrouh, Egypt",1
"Off Souani, Hoceima, Morocco - embarkation same day from Plage Souani",1
Unspecified location off the coast of Libya - disembarked at Tripoli,1
"Remains recovered off of Sirena de Punta Almina, Ceuta, Spain",1
"Edirne - Istanbul Highway, TÃ¼rkiye",1
"At the Syria-TÃ¼rkiye border close to Harim, Idlib, Syria",1
"Forest in Evros Region, Greece",1
"Off the coast of Mojacar, Almeria, Spain",1
"Unspecified location off the coast of Lesbos, Greece",1
"El Hierro, Canary Islands, Spain - both were passengers of a boat that arrived at La Restinga port in the early morning",1
"On board of a boat that was rescued off the coast of Gran Canaria, Canary Islands, Spain - survivors disembarked at ArguineguÃ­n, Gran Canaria, Spain",1
"Bodies retreived off the coast of Taourta, Oued Ed-Dahab Province, Dakhla, Western Sahara after boat with 26 POB presumably sailing from La Sarga, Dakhla capsized.",1
"Remains found at Santa Anita, Camargo municipality, Tamaulipas, Mexico",1
"Body washed next to a Kayak on Ain Brahim beach, Sidi Lakhdar, Mostaganem, Algeria",1
"Nava municipality, Coahuila, Mexico",1
"Navy retreived the body during a boat rescue 45KM off the coast of Mahdia, Tunisia. Boat sailed to Europe on night of 6 Jan from Sidi Mansour, Sfax, Tunisia",1
"Remains washed on the rocky shores of Terga, AÃ¯n TÃ©mouchent, Algeria",1
"Fenix Ranch, Nava, Coahuila, Mexico",1
"Remains recovered off Playa de la Potabilizadora, Ceuta, Spain.",1
"Remains washed ashore at Azzawyia Al-Harsha, Libya",1
"Remains washed ashore at Qarapoli, Libya",1
"Evros/MeriÃ§ river, Edirne - LalapaÅa District, TÃ¼rkiye",1
"In forest close to YeÅilce Village of DemirkÃ¶y District, Kirklareli, TÃ¼rkiye",1
"Remains washed on Plage Kef Fatma, Skikda, Algeria",1
"Rio Bravo, Ejido El Refugio, Matamoros, Tamaulipas, Mexico",1
"Remains recovered off of Kristel, Oran, Algeria",1
"RÃ­o Bravo near Mudo Island,Colonia 8, Piedras Negras, Coahuila, Mexico",1
"Evros/MeriÃ§ river, Serem Village, MeriÃ§ District, TÃ¼rkiye",1
"Undetermined location in Ojinaga, Chihuahua, Mexico",1
"Islet in the Evros/MeriÃ§ River near KiremitÃ§isalih Village, Edirne, TÃ¼rkiye, near border with Greece",1
"Body washed on Plage Sassel, El Amria, AÃ¯n TÃ©mouchent, Algeria",1
"Body found in cemetery KiremitÃ§isalih village, TÃ¼rkiye near border with Greece. Likely left for burial by other migrants",1
Unspecified location at the international borders of Algeria,1
"North of the Algerian border, Sahara desert, Algeria, North of the Nigerian border town of Assamaka",1
"90 km west of Dirkou, Niger",1
"Unspecified location in the Nigerien TÃ©nÃ©rÃ© desert, very far from Madama, Niger",1
"Unspecified location in the Nigerien TÃ©nÃ©rÃ© desert, very far from Madama, Niger, 20 km away from incident 2020.MMP01396",1
"Kasindolska Street, IlidÅ¾a, Sarajebo, Bosnia and Herzegovina",1
"Train tracks near Aqua Discotheque in BlaÅ¾uj, Bosnia and Herzegovina",1
"Bodies washed ashore at Plage des 3 frÃ¨res, Kharouba, Mostaganem, Algeria",1
"Body washed on Bahara 2 beach, Ouled Boughalem, Mostganem, Algeria. Presumed to be among missing from journey in Alboran Sea",1
"Body washed on Plage La Madrague, Ain El Turk, Oran, Algeria",1
"Off Pinorroa Bay, AcandÃ­, ChocÃ³, Colombia",1
"Remains washed ashore at Belyounech, Morocco. He was attempting to cross from Ceuta to Morocco",1
"On board of a boat that arrived to El Cabezo beach, Tenerife, Canary Islands, Spain - Presumably embarked from Senegal 7 days before",1
"Bodies found on board by Kariat Arkmane, Nador, Morocco",1
"On board of a boat which disembarked at ArguineguÃ­n Port, Gran Canaria, Canary Islands, Spain",1
"Evros/MeriÃ§ river, Ipsala distrcit, TÃ¼rkiye",1
"Near Cap de l'Eau, Ras Kebdana, Morocco. Boat presumed to depart from Ras Kebdana on route to Chafarinas Islands",1
"On the A16 highway, close to Boulogne-sur-Mer, Pas-de-Calais, France",1
"On board of a boat rescued off of Nador, Morocco ",1
"Colonia Zaragoza, Piedras Negras, Coahuila, Mexico",1
"Remains found by Marine Guard on the coast of Chebba, Mahdia, Tunisia",1
"On board of a boat that arrived at Tenerife, Canary Islands, Spain",1
"Remains washed ashore at Playa del Chorrillo, Ceuta, Spain",1
"Remains washed ashore El Marsa, Chlef, Algeria",1
"Unspecified location in Rudan district, Hormozgan province, Iran",1
"Northeast of Mykonos, Greece",1
Unspecified location near a gate in the fence on the border between Belarus and Poland,1
"1.5 nautical miles south off the coast of AyvacÄ±k, Ãanakkale, TÃ¼rkiye",1
Unspecified location in the Central Eastern coast of Tunisia - shipwreck(s) information unknown,1
"Remains retreived near el Louza port, Louata, Sfax, tunisia",1
"Remains washed ashore at Awlad Hassan beach, Al Amra, Sfax",1
"Off As Sidr Gulf, Libya - embarkation from Ajdabeya (160KM W Benghazi) couple of days earlier",1
"Turquesa River, Near the ""trocha"" to the Colombian border, Darien Gap, Panama",1
"Bravo River in Ciudad Juarez, Chihuahua, Mexico",1
"Bravo River in ""Las adjuntas"" Piedras Negras, Coahuila de Zaragoza, Mexico",1
"Sierra Mojada in Ocampo near the U.S Border, Coahuila de Zaragoza, Mexico",1
"Remains from sea retreived near the island of Kef Amor, ChÃ©taibi, Algeria - embarkation from Annaba,Remains retreived from sea near SÃ©raidi, Algeria - embarkation from Annaba",1
"240-278 km southwest of Gran Canaria, Canary Islands, Spain - Departure from Lamsid, south of Laayoune on 24 Sept.",1
"Provoskida, East of Lesvos, Greece",1
"On the railway tracks between Dimitrovgrad and Sukovo near Pirot, Serbia",1
"Near the port of Diakofti, Kythira, Greece",1
"In the brushland south of Laredo, Webb County, Texas, United States of Amercia",1
"600 meters from the coast, Cabo de Palos Marine Reserve, Cartagena, Spain",1
"Off the coast of Sousse, Tunisia",1
"Unspecified location in the Mediterrenean - embarkation from Zarzis, Tunisia on 21 September",1
"On the roof of a freight train car at Valenciennes station, Nord, Hauts-de-France, France",1
"Bosaso Entry checkpoint, Bosaso, Somalia",1
"Gehertta, Obock, Djibouti",1
"IOM MRC Obock, Djibouti",1
"Near port of Obock, Obock, Djibouti",1
"Remains found on the beach of Qerqarish, Tripoli, Libya",1
Unspecified location in Alboran Sea - attempted to swim to Ceuta,1
"9.5 nautical miles off the coast of Karaburun, Izmir, TÃ¼rkiye",1
"Remains recovered in Alhelies area, 35KM West of Benghazi, Libya",1
"Off the coast of Khoms, Libya",1
"Breakwaters of Ribera beach, Ceuta, Spain",1
"Mile 145 on the Mixcali-Tijjuana highway, Baja California, Mexico",1
"In front of the UÃ§burun coast of ÃeÅme district of Ä°zmir province, Turkiye",1
"Off the coast of KuÅadasÄ±, AydÄ±n, TÃ¼rkiye",1
"Off of the coast of Bodrum, MuÄla, TÃ¼rkiye",1
"Found dead in Slovenska Bistrica, Slovenia",1
Unspecified location in the Evros River between TÃ¼rkiye and Greece,1
"Remains found floating in the water near Alterah, 30 KM SW Benghazi, Libya",1
"Unspecified location in Edirne, TÃ¼rkiye",1
"Unspecified location in  MeriÃ§ region, TÃ¼rkiye",1
"Remains washed ashore at Lamsid, 60 km north of Boujdour, Western Sahara",1
"Unspecified location on the MarragantÃ­ River, ComarcÃ¡ EmberÃ¡ CÃ©maco, Darien Gap, Panama",1
"Unspecified location on the TacartÃ­ River, Comarca EmberÃ¡-CÃ©maco, Darien Gap, Panama",1
"The shore of the Rio Grande above Arizona and Boulevard Juan Pablo II, Ciudad JuÃ¡rez, Chihuahua, Mexico",1
"Tres Bocas area, Tuquesa Secror, DariÃ©n, Panama",1
"Near the island of Arwad, off the coast of Tartus, Syria",1
"Rio Bravo in Ejidal Santo Domingo Colony, Nava, Coahuila de Zaragoza, Mexico",1
"Rio Bravo in Ejido el Moral, Coahuila de Zaragoza, Mexico",1
"5 miles off Tabulbah, 25 km South of Monsatir, Tunisia",1
"Near the village of Miravci, North Macedonia",1
"Bravo River in Piedras Negras, Coahuila, Mexico",1
"Bravo River in Isla del Mudo,Piedras Negras Coahuila, Mexico",1
"Unspecified location in MeriÃ§ River, MeriÃ§ region, TÃ¼rkiye",1
"Inside and next to a docked boat at a beach in Sabratha, Libya",1
"Off the coast of Oran, Algeria - embarkation from Oran on 02-03 Oct, White Fiber boat Honda Engine 100hp",1
"In the waters half a mile from the port of Lampedusa, Italy",1
"Rio Bravo, Hidalgo, Coahuila, Mexico",1
"Remains washed ashore Playa de Calamocarro, Ceuta, Spain",1
"Off Mayyun island (Perim Island), Yemen - embarkation same day from Obock, Djibouti",1
"Al Mutrid, Azzawiyah, Libya",1
"3.8 miles South of Samiopoula, Samos, Greece",1
"Off Evia (Euboea) island, Kafireas Strait, Greece",1
"Rio Bravo, Zona Centro, Piedras Negras, Coahuila, Mexico",1
"Off Al Magroun (Qaminis), 80 KM SW Benghazi, Libya",1
"Unspecified location in the Mediterrenean - embarkation from Garabulli (Castelverde), Libya",1
"Near Playa Del Perdigal, Cabo de Gata, Almeria, Spain",1
"Centre dâorientation et dâassistance aux migrants (COAM), Obock, Djibouti",1
"Presumably Boca del Rio MarragantÃ­, Comarca EmeberÃ¡-CÃ©maco, Darien Gap, Panama",1
"along the banks of the Sava River in Trstenci, in the Derventa region",1
"Off the coast of Zarzis, Tunisia - identified by Consulate on 23 Oct,Off the coast of Zarzis, Tunisia - pending DNA identification",1
"Off the coasts of Sidi Al Bachir, Cap Angela, Bizerte, Tunisia",1
"At Lampedusa polyclinic, Lampedusa, Italy",1
"Found dead on board a boat off Lampedusa, Italy - embarkation from Tunisia",1
"Remains recovered in the coasts of Chebba, Mahdia, Tunisia",1
"Remains found on the rocky coast of Farmakonisi, Leros, Greece",1
"Remains recovered from the water in the Eastern coast of Symi island, Greece",1
"Rio Bravo near Guerrero Coahuila, Mexico",1
"Mendoza Berrueto Boulevard in front of the ISSSTE clinic, Piedras Negras, Coahuila, Mexico",1
"On N6 road 190 KM towards Adrar, between Ragganne and Bordj Badji Mokhtar, Algeria",1
"Tijuana Baja California, Mexico ",1
"Bravo River in Reynosa Tamaulipas, Mexico",1
"Remains washed ashore in front of Ibis hotel, Fnideq, Morocco",1
"Off Lbakhouate, South of Dakhla, Western Sahara - remains washed ashore at plage de Porto Rico and Imlili, South of Dakhla, Western Sahara",1
"North of BahÃ­a Honda, Artemisa, Cuba",1
"Bravo River in Eagle Pass International Bridge System (Puente Internacional #1), Piedras Negras, Coahuila de Zaragoza, Mexico",1
"Off the Eastern coast of Lampi, Kos, Greece",1
"Off the coast 46 miles southwest of Trapani, Sicily, Italy | linked to missing boat that embarked from Raf Raf, Bizerte, Tunisia on 9 Oct - two remains identified by DNA",1
"East of Fuerteventura, Las Palmas, Spain",1
"In the Rio Grande, Claudette neighborhood, Neuvo Laredo, Tamaulipas, Mexico",1
"Off the coasts of Mahdia, Cheba, and Salqata, Madia, Tunisia",1
"Off the coast of Crotone, Italy",1
"Body found 10 months after disappearance in finca Praxedis G. Guerroro, Guadalupe Distrito Bravos, Chihuhua, Mexico",1
"Unspecified swampy area near Bialowieza, Poland",1
"Bravo River near Claudette Colony, Nuevo Laredo, Tamaulipas, Mexico",1
"Off the coast of Kovan Island, KaÅ, Antalya, TÃ¼rkiye",1
"Federal Highway 2 KM 56 in Hidalgo, Coahuila, Mexico",1
"North of Zuwara, Libya - embarkation from Abu Kammash/Zuwara on 9 Oct 01:00, disembarkation at Marsa Della DP",1
"Off the coast of Skikda, Algeria (East)",1
"Off Ile Congliera (Kuriat island), Monastir, Tunisia - embarked from Tabulbah, Monastir, Tunisia on 22 September",1
"Remains washed ashore Ras Yousef beach, Sabratah, Libya",1
"Remains washed ashore Temaya, 28 KM North Dakhla, Western Sahara",1
"Boat capsized between Didim, TÃ¼rkiye and Farmakonisi, Greece",1
"Unspecified location in Maltese SAR Zone, disembarkation in Lampedusa, Italy - embarkation from Sfax, Tunisia",1
"24 nautical miles off Lampedusa, south of Sicily, Italy - embarkation from Tunisia",1
"During an interception in the coast of Ain El Turk, Oran, Algeria",1
"Unspecified location off Lampedusa, Italy - embarkation from Sfax, Tunisia",1
"Off the coast of Karaada, Bodrum, MuÄla, TÃ¼rkiye",1
"Bravo River in Isla del Mudo, Piedras Negras Coahuila, Mexico",1
Unspecified location on an oil rig (probably Miskar rig in the Gulf of Gabes) in the international waters off of the coast of Tunisia,1
Unspecified location in the forest on the Greek side of the border,1
"Remains retreived from the sea half of mile North port de Beni Haoua, Chlef, Algeria",1
Unspecified location in mountains between Albania and Montenegro,1
"On board of a boat off the coast on the Western Africa Route to the Canaries - disembarkation at Arguinegui, Gran Canaria Spain",1
"Unnamed Greek islet on the Evros River near Lavara, Greece, Between Greece and Turkey",1
"Primary International Border Barrier near the San Ysidro, San Diego, Calif., Port of Entry",1
"Rio Grande, South of Eagle Pass, Maverick County, TX, US",1
"Saner Ranch, outside of Eagle Pass, Maverick County, TX US",1
"Hospital in Bosaso, Somalia",1
"On RibereÃ±a Road, Nueva Ciudad Guerrero, Tamaulipas, Mexico",1
"Rio Bravo, Morelos, 2km south of International Brigde II, Piedras Negras, Coahuila, Mexico",1
Unspecified location in a desertic area in Mexico,1
"Rio Bravo, Presidentes, Piedras Negras, Coahuila, Mexico",1
"Rio Bravo, ejido Santo Domingo, Nava Municipality (close to Piedras Negras), Coahuila, Mexico ",1
"In the Sahara Desert at the Sudan-Libya border near Jebel Uweinat, after departure from North Darfur state",1
"Off the coast of Lamsid, 60 km off the coast of Boujdour, Western Sahara",1
"Armila River, Comarca Guna Yala, Panama",1
"In Greece after crossing border near SaÃ§lÄ±mÃ¼sellim, TÃ¼rkiye",1
Unspecified location in 'prison-like place' in Greece near TÃ¼rkiye border crossing Serem,1
Unspecified location in 'prison-like place' in Greece near TÃ¼rkiye border crossing Serem; death occurred just prior to forced expulsion of group of migrants he travelled with,1
"7 km east of Gran Tarajal, Fuerteventura, Canary Islands, Spain",1
"Rio Bravo, 300 m south of railroad bridge in Morelos, Piedras Negras, Coahuila, Mexico",1
